Date,Open,High,Low,Close,Volume
2018-04-16,125.51,125.68,125.07,125.17,141259
2018-04-13,125.2,125.3,124.59,124.9,91606
2018-04-12,124.94,125.37,124.67,124.99,138465
2018-04-11,124.38,124.9,124.11,124.2,159500
2018-04-10,124.35,124.9,124.15,124.63,323379
2018-04-09,122.68,123.62,122.17,122.6,239941
2018-04-06,122.55,122.93,120.92,121.83,432895
2018-04-05,123.73,124.28,123.34,123.79,450025
2018-04-04,122.41,124.3,122.21,124.15,407948
2018-04-03,123.52,124.84,123.33,124.72,239849
2018-04-02,125.3,125.3,122.29,123.01,267620
2018-03-29,126.32,127.25,125.43,126.68,169960
2018-03-28,124.58,126.07,124.51,125.71,358636
2018-03-27,123.9,124.5,122.05,122.53,363292
2018-03-26,120.83,121.99,119.86,121.84,165836
2018-03-23,121.01,121.26,119.1,119.14,233225
2018-03-22,122.78,123.11,121.48,121.55,185333
2018-03-21,123.72,124.59,123.32,123.71,115520
2018-03-20,123.02,123.81,122.99,123.69,72187
2018-03-19,123.6,123.78,121.78,122.34,187666
2018-03-16,124.47,124.8,124.31,124.32,95480
2018-03-15,124.94,125.36,124.33,124.78,107038
2018-03-14,125.56,125.56,124.29,124.4,121339
2018-03-13,125.04,125.53,124.09,124.4,182011
2018-03-12,124.43,125.36,124.43,124.73,150469
2018-03-09,123.08,124.52,122.36,124.12,494349
2018-03-08,123.64,124.23,123.18,123.98,244397
2018-03-07,123.9,124.4,122.88,124.24,296953
2018-03-06,126.01,126.16,125.1,125.68,203754
2018-03-05,123.73,125.76,123.41,125.34,168752
2018-03-02,123.61,125.1,123.07,124.97,223893
2018-03-01,127.73,127.81,123.92,124.78,464150
2018-02-28,130.31,130.36,128.78,128.81,141674
2018-02-27,131.8,132.01,130.16,130.17,157574
2018-02-26,131.45,132.6,131.16,132.47,131243
2018-02-23,130.21,131.18,129.88,131.13,106511
2018-02-22,129.79,130.33,129.14,129.41,154720
2018-02-21,129.97,130.63,129.0,129.0,150771
2018-02-20,130.0,130.71,130.0,130.0,134636
2018-02-16,130.08,130.87,130.05,130.34,165827
2018-02-15,129.19,129.5,128.35,129.46,228328
2018-02-14,127.02,129.75,126.47,129.64,274433
2018-02-13,128.32,129.46,128.04,129.22,313595
2018-02-12,131.83,133.15,130.9,132.79,264492
2018-02-09,131.26,131.71,127.31,130.69,452534
2018-02-08,132.25,132.33,128.62,128.64,405119
2018-02-07,131.42,132.81,130.96,130.99,227595
2018-02-06,128.57,133.48,127.51,132.79,536373
2018-02-05,129.67,130.25,125.66,126.25,327969
2018-02-02,132.91,133.0,130.72,130.73,264580
2018-02-01,132.29,133.25,132.27,132.83,177270
2018-01-31,132.49,132.56,131.25,131.99,234683
2018-01-30,133.95,134.23,133.25,133.61,226961
2018-01-29,133.92,134.42,133.46,133.52,260470
2018-01-26,133.35,133.72,132.91,133.55,333661
2018-01-25,133.44,133.44,131.78,132.23,283115
2018-01-24,133.51,133.64,132.54,133.04,247494
2018-01-23,133.62,133.62,132.96,133.28,172247
2018-01-22,132.98,133.4,132.71,133.4,261050
2018-01-19,133.87,134.27,133.36,133.83,178311
2018-01-18,133.27,133.31,132.45,132.66,181177
2018-01-17,134.56,134.92,133.64,134.66,412455
2018-01-16,133.21,133.5,131.67,132.03,269493
2018-01-12,130.8,131.3,130.66,131.3,106138
2018-01-11,130.8,131.02,129.79,131.02,188437
2018-01-10,130.84,131.37,130.23,130.53,407035
2018-01-09,128.06,128.07,127.37,127.97,154749
2018-01-08,128.21,128.99,127.87,128.97,137171
2018-01-05,127.38,128.11,127.36,128.1,141396
2018-01-04,125.66,126.47,125.65,126.47,166988
2018-01-03,123.14,124.63,123.03,124.52,169550
2018-01-02,121.94,122.9,121.7,122.84,87304
2017-12-29,122.91,122.91,121.64,121.7,127617
2017-12-28,122.59,122.9,122.02,122.75,106923
2017-12-27,122.47,122.77,122.37,122.71,81357
2017-12-26,122.49,122.64,122.32,122.47,50700
2017-12-22,122.6,122.81,122.24,122.79,79221
2017-12-21,122.72,122.91,122.54,122.76,188996
2017-12-20,122.49,122.5,121.85,122.13,108599
2017-12-19,122.01,122.2,121.33,121.54,94997
2017-12-18,121.4,121.95,121.27,121.85,168190
2017-12-15,118.87,119.3,118.82,118.98,133243
2017-12-14,120.2,120.34,119.53,119.62,354752
2017-12-13,119.37,119.87,119.33,119.54,86915
2017-12-12,118.59,119.16,118.47,118.89,115098
2017-12-11,118.84,118.84,118.39,118.6,93759
2017-12-08,118.82,119.14,118.69,119.09,130719
2017-12-07,118.09,118.25,117.56,118.09,118706
2017-12-06,117.7,117.98,117.35,117.67,100015
2017-12-05,118.71,119.46,117.83,118.35,198830
2017-12-04,119.34,119.58,118.38,118.59,254347
2017-12-01,120.01,120.18,118.35,119.0,210320
2017-11-30,120.96,121.42,120.76,120.9,115623
2017-11-29,121.16,121.63,120.64,121.11,133944
2017-11-28,121.07,121.49,120.88,121.49,105546
2017-11-27,120.77,120.96,120.45,120.56,109487
2017-11-24,120.85,120.96,120.44,120.62,60270
2017-11-22,120.86,121.18,120.39,120.64,120360
2017-11-21,119.81,120.5,119.67,120.37,170812
2017-11-20,118.52,119.18,118.52,118.93,112884
2017-11-17,118.02,118.32,117.78,117.99,222149
2017-11-16,118.65,119.32,118.51,119.01,146602
2017-11-15,117.65,118.48,117.22,118.33,111247
2017-11-14,119.96,120.03,119.36,119.49,171805
2017-11-13,119.47,120.35,119.42,120.26,163479
2017-11-10,119.42,119.52,119.05,119.13,128692
2017-11-09,120.01,120.29,119.27,120.05,317526
2017-11-08,121.65,122.59,121.58,122.47,187399
2017-11-07,121.28,122.0,120.69,121.97,350184
2017-11-06,120.1,120.34,119.95,120.22,108077
2017-11-03,120.1,120.22,119.64,120.21,120541
2017-11-02,119.66,120.08,119.56,119.92,159945
2017-11-01,118.93,119.54,118.83,119.07,202932
2017-10-31,118.57,118.79,118.34,118.67,115374
2017-10-30,118.9,119.08,118.74,119.03,113532
2017-10-27,118.55,118.88,118.34,118.87,106420
2017-10-26,118.25,118.76,118.21,118.52,128627
2017-10-25,117.94,117.94,116.77,117.07,184474
2017-10-24,118.68,118.68,118.27,118.55,136081
2017-10-23,117.88,117.99,117.33,117.49,161371
2017-10-20,118.1,118.39,118.06,118.38,116643
2017-10-19,117.86,118.02,117.49,117.77,126467
2017-10-18,118.57,118.96,118.51,118.9,133191
2017-10-17,118.02,118.34,117.88,118.01,112170
2017-10-16,118.0,118.17,117.71,118.11,105900
2017-10-13,118.11,118.23,117.73,118.08,348842
2017-10-12,118.16,118.35,117.77,117.89,157953
2017-10-11,118.17,118.51,117.99,118.23,202568
2017-10-10,118.53,118.83,118.49,118.75,493309
2017-10-09,116.77,116.77,116.36,116.43,158838
2017-10-06,116.35,116.64,116.08,116.62,132444
2017-10-05,115.54,115.7,115.31,115.64,112865
2017-10-04,115.62,116.09,115.05,115.75,160672
2017-10-03,114.37,115.17,114.36,115.15,167051
2017-10-02,113.71,114.31,113.71,114.18,120607
2017-09-29,114.23,114.47,114.02,114.04,127695
2017-09-28,114.62,114.84,114.3,114.45,182215
2017-09-27,114.89,115.02,113.96,114.74,212852
2017-09-26,114.89,115.02,114.38,114.58,190307
2017-09-25,114.1,114.48,113.87,114.24,149589
2017-09-22,113.57,114.03,113.57,113.92,154749
2017-09-21,113.57,113.57,113.14,113.38,117670
2017-09-20,113.33,113.71,113.17,113.68,204862
2017-09-19,113.15,113.54,113.14,113.39,291773
2017-09-18,111.27,111.36,110.85,111.06,120071
2017-09-15,110.6,111.24,110.6,111.15,179445
2017-09-14,110.03,110.83,109.99,110.58,235258
2017-09-13,109.88,110.21,109.79,110.13,118623
2017-09-12,109.9,110.28,109.86,110.06,189999
2017-09-11,109.5,109.95,109.37,109.77,196450
2017-09-08,108.61,108.76,108.32,108.58,233895
2017-09-07,108.15,108.37,107.64,107.93,280185
2017-09-06,107.63,107.7,107.16,107.41,193406
2017-09-05,107.06,107.66,106.9,107.3,242289
2017-09-01,106.47,107.53,106.37,106.75,305214
2017-08-31,106.02,106.8,105.98,106.7,308476
2017-08-30,105.87,106.07,105.3,106.05,183509
2017-08-29,105.33,105.87,105.28,105.85,123838
2017-08-28,106.23,106.23,105.82,106.03,75441
2017-08-25,106.29,106.71,106.18,106.56,163456
2017-08-24,105.99,106.41,105.87,105.98,162269
2017-08-23,106.65,106.79,106.41,106.57,151315
2017-08-22,106.38,106.72,106.3,106.59,199713
2017-08-21,106.15,106.61,106.12,106.45,177651
2017-08-18,105.77,105.93,105.32,105.53,126800
2017-08-17,106.0,106.0,105.1,105.26,133386
2017-08-16,106.12,106.34,105.95,106.15,172019
2017-08-15,107.1,107.33,106.98,106.98,195345
2017-08-14,106.58,107.08,106.5,106.75,223478
2017-08-11,106.21,106.4,105.66,105.89,376203
2017-08-10,107.28,107.45,105.97,106.14,297370
2017-08-09,106.82,106.99,106.57,106.81,118545
2017-08-08,107.91,108.12,107.7,107.87,151407
2017-08-07,107.65,107.81,107.59,107.78,149593
2017-08-04,107.43,107.47,106.71,107.32,159285
2017-08-03,106.48,106.6,106.04,106.46,267842
2017-08-02,107.45,107.84,107.17,107.84,188904
2017-08-01,107.77,108.02,107.27,107.82,393480
2017-07-31,106.72,106.72,106.21,106.56,149838
2017-07-28,105.61,106.02,105.59,106.02,198289
2017-07-27,105.08,105.75,105.03,105.47,237875
2017-07-26,104.22,104.73,104.19,104.62,166415
2017-07-25,103.73,104.4,103.65,104.02,210731
2017-07-24,103.23,103.37,103.03,103.33,134429
2017-07-21,103.38,103.41,102.99,103.24,187452
2017-07-20,103.82,103.95,103.42,103.73,160967
2017-07-19,103.49,103.74,103.47,103.6,158008
2017-07-18,104.07,104.07,103.56,103.89,194877
2017-07-17,103.9,104.29,103.9,104.19,248211
2017-07-14,103.94,104.53,103.94,104.07,310802
2017-07-13,103.41,103.78,103.37,103.73,211469
2017-07-12,103.52,103.77,103.19,103.76,331129
2017-07-11,102.09,102.43,101.59,102.2,510729
2017-07-10,102.2,102.45,102.13,102.21,127801
2017-07-07,102.14,102.57,102.04,102.44,258770
2017-07-06,102.06,102.09,101.32,101.48,292964
2017-07-05,102.14,102.73,102.09,102.5,526317
2017-07-03,99.91,100.43,99.77,100.14,175497
2017-06-30,99.194,99.43,98.84,99.184,179392
2017-06-29,99.273,99.273,98.06299999999999,98.545,193487
2017-06-28,99.155,99.48899999999999,98.948,99.45,205032
2017-06-27,99.145,99.194,98.663,98.72200000000001,231833
2017-06-26,99.391,99.69,99.135,99.145,166699
2017-06-23,99.31200000000001,99.42,99.184,99.381,112622
2017-06-22,99.52,99.77,99.46,99.63,242837
2017-06-21,99.056,99.056,98.633,98.741,223765
2017-06-20,98.682,98.73200000000001,97.861,98.04299999999999,318964
2017-06-19,98.781,98.889,98.574,98.87899999999999,246551
2017-06-16,99.155,99.155,98.76100000000001,99.066,316867
2017-06-15,99.63,100.15,99.44,99.89,371297
2017-06-14,101.17,101.21,100.45,100.77,158123
2017-06-13,100.98,101.44,100.77,101.44,1008898
2017-06-12,100.33,100.73,100.21,100.52,411463
2017-06-09,99.83,100.37,99.48899999999999,99.85,291477
2017-06-08,100.57,100.72,99.65,99.89,458905
2017-06-07,101.88,101.97,101.43,101.56,134622
2017-06-06,101.57,102.02,101.56,101.8,217620
2017-06-05,101.93,102.21,101.53,101.76,192551
2017-06-02,102.98,103.52,102.82,103.29,290949
2017-06-01,101.84,102.39,101.74,102.37,180512
2017-05-31,101.4,101.72,100.82,101.57,196455
2017-05-30,101.23,102.1,101.19,101.88,205256
2017-05-26,100.85,101.14,100.67,101.14,166380
2017-05-25,101.29,101.57,101.15,101.33,190406
2017-05-24,101.53,101.67,101.0,101.35,161386
2017-05-23,101.99,102.4,101.99,102.07,243315
2017-05-22,101.38,101.95,101.24,101.53,350138
2017-05-19,101.14,101.8,101.14,101.59,188290
2017-05-18,100.0,101.05,99.95,100.84,223832
2017-05-17,100.9,101.38,99.84,99.9,274251
2017-05-16,101.14,101.39,100.72,100.98,293111
2017-05-15,100.59,100.63,100.2,100.48,317624
2017-05-12,100.27,100.7,100.27,100.53,293345
2017-05-11,100.81,100.98,100.4,100.91,300239
2017-05-10,100.38,100.44,99.81,99.92,467491
2017-05-09,102.98,103.06,102.34,102.43,249006
2017-05-08,103.89,104.21,103.88,104.06,180766
2017-05-05,103.17,103.83,103.06,103.8,232975
2017-05-04,103.2,103.2,102.41,103.09,161413
2017-05-03,102.44,102.98,102.3,102.82,390297
2017-05-02,103.43,103.58,103.0,103.17,283734
2017-05-01,102.27,102.39,102.08,102.28,115555
2017-04-28,102.33,102.55,102.06,102.13,240392
2017-04-27,103.69,103.79,103.13,103.33,226354
2017-04-26,103.81,104.19,103.69,103.8,434089
2017-04-25,102.57,102.88,102.51,102.67,328976
2017-04-24,101.22,101.29,100.77,101.04,272877
2017-04-21,100.92,101.27,100.53,100.65,239394
2017-04-20,99.78,100.26,99.77,100.11,248363
2017-04-19,99.165,99.26299999999999,98.682,98.801,226612
2017-04-18,99.75,99.78,99.23299999999999,99.46,211549
2017-04-17,100.04,100.31,99.82,100.22,383247
2017-04-13,99.28299999999999,99.302,98.37700000000001,98.387,366535
2017-04-12,100.1,100.1,99.54,99.58,329818
2017-04-11,100.84,100.86,100.17,100.48,444040
2017-04-10,100.21,100.55,99.93,100.09,401824
2017-04-07,99.87,100.19,99.75,100.02,247453
2017-04-06,99.8,100.0,99.479,99.64,415319
2017-04-05,101.08,101.08,100.17,100.24,564966
2017-04-04,102.05,102.33,101.87,102.0,356238
2017-04-03,102.58,102.75,101.91,102.49,273772
2017-03-31,102.87,102.87,102.38,102.58,328259
2017-03-30,103.89,104.16,103.78,103.95,214751
2017-03-29,104.12,104.2,104.0,104.11,413087
2017-03-28,104.05,104.68,103.94,104.52,220882
2017-03-27,103.24,104.09,102.98,103.89,227660
2017-03-24,103.31,103.78,103.13,103.53,173914
